surah,ayah,page,word_count
1,1,1,4
1,2,1,4
1,3,1,2
1,4,1,3
1,5,1,4
1,6,1,3
1,7,1,9
2,1,2,1
2,2,2,7
2,3,2,8
2,4,2,12
2,5,2,8
2,6,3,11
2,7,3,12
2,8,3,11
2,9,3,10
2,10,3,12
2,11,3,11
2,12,3,7
2,13,3,19
2,14,3,16
2,15,3,7
2,16,3,11
2,17,4,17
2,18,4,6
2,19,4,19
2,20,4,25
2,21,4,11
2,22,4,23
2,23,4,20
2,24,4,13
2,25,5,34
2,26,5,39
2,27,5,20
2,28,5,13
2,29,5,19
2,30,6,28
2,31,6,15
2,32,6,12
2,33,6,22
2,34,6,13
2,35,6,18
2,36,6,19
2,37,6,11
2,38,7,17
2,39,7,10
2,40,7,13
2,41,7,18
2,42,7,8
2,43,7,7
2,44,7,10
2,45,7,8
2,46,7,8
2,47,7,11
2,48,7,19
2,49,8,18
2,50,8,10
2,51,8,12
2,52,8,8
2,53,8,7
2,54,8,26
2,55,8,14
2,56,8,7
2,57,8,18
2,58,9,20
2,59,9,18
2,60,9,28
2,61,9,59
2,62,10,24
2,63,10,15
2,64,10,13
2,65,10,12
2,66,10,9
2,67,10,20
2,68,10,23
2,69,10,18
2,70,11,17
2,71,11,24
2,72,11,10
2,73,11,11
2,74,11,37
2,75,11,19
2,76,11,23
2,77,12,9
2,78,12,11
2,79,12,24
2,80,12,23
2,81,12,13
2,82,12,10
2,83,12,29
2,84,13,15
2,85,13,49
2,86,13,13
2,87,13,28
2,88,13,10
2,89,14,26
2,90,14,27
2,91,14,30
2,92,14,11
2,93,14,27
2,94,15,17
2,95,15,9
2,96,15,25
2,97,15,18
2,98,15,12
2,99,15,10
2,100,15,10
2,101,15,22
2,102,16,74
2,103,16,12
2,104,16,12
2,105,16,25
2,106,17,19
2,107,17,17
2,108,17,18
2,109,17,33
2,110,17,17
2,111,17,18
2,112,17,17
2,113,18,31
2,114,18,30
2,115,18,12
2,116,18,14
2,117,18,11
2,118,18,24
2,119,18,10
2,120,19,31
2,121,19,15
2,122,19,11
2,123,19,18
2,124,19,19
2,125,19,22
2,126,19,30
2,127,20,14
2,128,20,17
2,129,20,16
2,130,20,18
2,131,20,9
2,132,20,16
2,133,20,27
2,134,20,15
2,135,21,15
2,136,21,31
2,137,21,19
2,138,21,10
2,139,21,14
2,140,21,30
2,141,21,15
2,142,22,21
2,143,22,45
2,144,22,34
2,145,22,32
2,146,23,14
2,147,23,7
2,148,23,19
2,149,23,17
2,150,23,31
2,151,23,17
2,152,23,6
2,153,23,10
2,154,24,13
2,155,24,12
2,156,24,10
2,157,24,9
2,158,24,24
2,159,24,20
2,160,24,11
2,161,24,13
2,162,24,9
2,163,24,9
2,164,25,43
2,165,25,31
2,166,25,12
2,167,25,23
2,168,25,16
2,169,25,11
2,170,26,22
2,171,26,18
2,172,26,14
2,173,26,25
2,174,26,29
2,175,26,11
2,176,26,14
2,177,27,51
2,178,27,37
2,179,27,8
2,180,27,16
2,181,27,13
2,182,28,16
2,183,28,14
2,184,28,32
2,185,28,44
2,186,28,17
2,187,29,65
2,188,29,17
2,189,29,27
2,190,29,13
2,191,30,25
2,192,30,6
2,193,30,15
2,194,30,22
2,195,30,14
2,196,30,73
2,197,31,29
2,198,31,26
2,199,31,12
2,200,31,24
2,201,31,14
2,202,31,8
2,203,32,25
2,204,32,17
2,205,32,14
2,206,32,12
2,207,32,11
2,208,32,15
2,209,32,12
2,210,32,17
2,211,33,20
2,212,33,20
2,213,33,49
2,214,33,30
2,215,33,22
2,216,34,25
2,217,34,57
2,218,34,16
2,219,34,26
2,220,35,26
2,221,35,39
2,222,35,27
2,223,35,16
2,224,35,14
2,225,36,14
2,226,36,13
2,227,36,7
2,228,36,40
2,229,36,46
2,230,36,30
2,231,37,45
2,232,37,33
2,233,37,64
2,234,38,25
2,235,38,47
2,236,38,25
2,237,38,35
2,238,39,8
2,239,39,15
2,240,39,27
2,241,39,6
2,242,39,7
2,243,39,28
2,244,39,9
2,245,39,16
2,246,40,54
2,247,40,43
