page,line,line_type,is_centered,surah_number,start_surah,start_ayah,start_word,start_surah_word,end_surah,end_ayah,end_word,end_surah_word,words_count,text
1,1,surah_name,1,1,,,,,,,,,0,
1,2,ayah,1,,1,1,1,1,1,1,5,,5,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ ١
1,3,ayah,1,,1,2,1,5,1,2,5,,5,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ ٢
1,4,ayah,1,,1,3,1,9,1,4,4,,7,ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ ٣ مَـٰلِكِ يَوْمِ ٱلدِّينِ ٤
1,5,ayah,1,,1,5,1,14,1,6,1,18,6,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ ٥ ٱهْدِنَا
1,6,ayah,1,,1,6,2,19,1,7,3,23,6,ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ ٦ صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ
1,7,ayah,1,,1,7,4,24,1,7,7,27,4,عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ
1,8,ayah,1,,1,7,8,28,1,7,10,,3,وَلَا ٱلضَّآلِّينَ ٧
1,9,,0,,,,,,,,,,0,
1,10,,0,,,,,,,,,,0,
1,11,,0,,,,,,,,,,0,
1,12,,0,,,,,,,,,,0,
1,13,,0,,,,,,,,,,0,
1,14,,0,,,,,,,,,,0,
1,15,,0,,,,,,,,,,0,
2,1,surah_name,1,2,,,,,,,,,0,
2,2,basmallah,1,,,,,,,,,,0,
2,3,ayah,1,,2,1,1,1,2,2,6,7,8,الٓمٓ ١ ذَٰلِكَ ٱلْكِتَـٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى
2,4,ayah,1,,2,2,7,8,2,3,5,13,7,لِّلْمُتَّقِينَ ٢ ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ
2,5,ayah,1,,2,3,6,14,2,4,4,20,8,وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ ٣ وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ
2,6,ayah,1,,2,4,5,21,2,4,13,,9,إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْـَٔاخِرَةِ هُمْ يُوقِنُونَ ٤
2,7,ayah,1,,2,5,1,29,2,5,6,34,6,أُو۟لَـٰٓئِكَ عَلَىٰ هُدًۭى مِّن رَّبِّهِمْ ۖ وَأُو۟لَـٰٓئِكَ
2,8,ayah,1,,2,5,7,35,2,5,9,,3,هُمُ ٱلْمُفْلِحُونَ ٥
2,9,,0,,,,,,,,,,0,
2,10,,0,,,,,,,,,,0,
2,11,,0,,,,,,,,,,0,
2,12,,0,,,,,,,,,,0,
2,13,,0,,,,,,,,,,0,
2,14,,0,,,,,,,,,,0,
2,15,,0,,,,,,,,,,0,
3,1,ayah,0,,2,6,1,37,2,6,9,45,9,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ
3,2,ayah,0,,2,6,10,46,2,7,7,54,10,لَا يُؤْمِنُونَ ٦ خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ
3,3,ayah,0,,2,7,8,55,2,8,2,61,8,أَبْصَـٰرِهِمْ غِشَـٰوَةٌۭ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌۭ ٧ وَمِنَ ٱلنَّاسِ
3,4,ayah,0,,2,8,3,62,2,8,12,,10,مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْـَٔاخِرِ وَمَا هُم بِمُؤْمِنِينَ ٨
3,5,ayah,0,,2,9,1,71,2,9,8,78,8,يُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ
3,6,ayah,0,,2,9,9,79,2,10,6,86,9,وَمَا يَشْعُرُونَ ٩ فِى قُلُوبِهِم مَّرَضٌۭ فَزَادَهُمُ ٱللَّهُ مَرَضًۭا ۖ
3,7,ayah,0,,2,10,7,87,2,11,3,95,10,وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ ١٠ وَإِذَا قِيلَ لَهُمْ
3,8,ayah,0,,2,11,4,96,2,11,12,,9,لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ ١١
3,9,ayah,0,,2,12,1,104,2,13,2,112,10,أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَـٰكِن لَّا يَشْعُرُونَ ١٢ وَإِذَا قِيلَ
3,10,ayah,0,,2,13,3,113,2,13,12,122,10,لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ ۗ
3,11,ayah,0,,2,13,13,123,2,14,2,131,10,أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَـٰكِن لَّا يَعْلَمُونَ ١٣ وَإِذَا لَقُوا۟
3,12,ayah,0,,2,14,3,132,2,14,12,141,10,ٱلَّذِينَ ءَامَنُوا۟ قَالُوٓا۟ ءَامَنَّا وَإِذَا خَلَوْا۟ إِلَىٰ شَيَـٰطِينِهِمْ قَالُوٓا۟ إِنَّا
3,13,ayah,0,,2,14,13,142,2,15,4,149,9,مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ ١٤ ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ
3,14,ayah,0,,2,15,5,150,2,16,4,156,8,فِى طُغْيَـٰنِهِمْ يَعْمَهُونَ ١٥ أُو۟لَـٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلضَّلَـٰلَةَ
3,15,ayah,0,,2,16,5,157,2,16,12,,8,بِٱلْهُدَىٰ فَمَا رَبِحَت تِّجَـٰرَتُهُمْ وَمَا كَانُوا۟ مُهْتَدِينَ ١٦
4,1,ayah,0,,2,17,1,164,2,17,9,172,9,مَثَلُهُمْ كَمَثَلِ ٱلَّذِى ٱسْتَوْقَدَ نَارًۭا فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥ
4,2,ayah,0,,2,17,10,173,2,18,1,181,10,ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِى ظُلُمَـٰتٍۢ لَّا يُبْصِرُونَ ١٧ صُمٌّۢ
4,3,ayah,0,,2,18,2,182,2,19,5,191,11,بُكْمٌ عُمْىٌۭ فَهُمْ لَا يَرْجِعُونَ ١٨ أَوْ كَصَيِّبٍۢ مِّنَ ٱلسَّمَآءِ فِيهِ
4,4,ayah,0,,2,19,6,192,2,19,14,200,9,ظُلُمَـٰتٌۭ وَرَعْدٌۭ وَبَرْقٌۭ يَجْعَلُونَ أَصَـٰبِعَهُمْ فِىٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ
4,5,ayah,0,,2,19,15,201,2,20,3,208,9,حَذَرَ ٱلْمَوْتِ ۚ وَٱللَّهُ مُحِيطٌۢ بِٱلْكَـٰفِرِينَ ١٩ يَكَادُ ٱلْبَرْقُ يَخْطَفُ
4,6,ayah,0,,2,20,4,209,2,20,13,218,10,أَبْصَـٰرَهُمْ ۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوْا۟ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُوا۟ ۚ
4,7,ayah,0,,2,20,14,219,2,20,23,228,10,وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَـٰرِهِمْ ۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ
4,8,ayah,0,,2,20,24,229,2,21,6,236,9,شَىْءٍۢ قَدِيرٌۭ ٢٠ يَـٰٓأَيُّهَا ٱلنَّاسُ ٱعْبُدُوا۟ رَبَّكُمُ ٱلَّذِى خَلَقَكُمْ
4,9,ayah,0,,2,21,7,237,2,22,3,244,9,وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ ٢١ ٱلَّذِى جَعَلَ لَكُمُ
4,10,ayah,0,,2,22,4,245,2,22,12,253,9,ٱلْأَرْضَ فِرَٰشًۭا وَٱلسَّمَآءَ بِنَآءًۭ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَأَخْرَجَ
4,11,ayah,0,,2,22,13,254,2,22,22,263,10,بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزْقًۭا لَّكُمْ ۖ فَلَا تَجْعَلُوا۟ لِلَّهِ أَندَادًۭا وَأَنتُمْ
4,12,ayah,0,,2,22,23,264,2,23,8,272,10,تَعْلَمُونَ ٢٢ وَإِن كُنتُمْ فِى رَيْبٍۢ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا
4,13,ayah,0,,2,23,9,273,2,23,17,281,9,فَأْتُوا۟ بِسُورَةٍۢ مِّن مِّثْلِهِۦ وَٱدْعُوا۟ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ
